BRCA	HNSC	KIRC	KIRP	LIHC	LUSC	PRAD	STAD	THCA
hsa-let-7a-1	1.34762170735738	1.48973683278533	0.152363194531593	0.125217965460102	1.0057513306779	4.52271876586992	0.394732714895623	5.58605581959809	0.485994606184652
hsa-let-7a-2	1.37928411379243	1.51852795177298	0.152363194531593	0.124857710997664	1.01295022072843	4.4679303363976	0.38525407841968	5.5980731224216	0.483713763178011
hsa-let-7a-3	1.34878761943861	1.4916995043461	0.158414930000808	0.132569857125099	1.01348539349452	4.46194316299639	0.376779490265329	5.59895585242082	0.495798686322177
hsa-let-7b	0.956321670484362	0.0266314430923055	6.4651267476451	0.674793398195747	0.295416800707942	1.25113464543585	0.457140085172403	3.72422409204528	3.92767744194385
hsa-let-7c	10	10	1.05534466027515	0.268500910164628	4.67093413097313	6.87266264912667	1.61870286113716	10	1.2175348121784
hsa-let-7d	2.73289807907253	5.12409275612531	0.309515626876133	1.41506977045933	6.17213370168699	2.79107820949919	0.180737792673577	0.841472050575849	5.42981321219425
hsa-let-7e	2.75499026409432	0.788584946030579	10	0.0297896669333351	2.69210710526212	0.147400192728104	1.40358759459322	9.55570004608806	10
hsa-let-7f-1	0.0908347100134251	0.66240087290984	0.309877002522409	0.551016026834418	1.61512457990735	1.35110551434478	0.253380087839035	1.57100420114497	1.19752843862132
hsa-let-7f-2	0.0612781561028202	0.660452724016933	0.3357094419672	0.547330282824438	1.60763801725236	1.33648504990208	0.202321723601181	1.57296085295479	1.20408588908385
hsa-let-7g	2.41474857174879	4.39840148527464	10	0.301693843088154	0.0338110738272818	0.224996950325486	0.199870547015474	1.51338656531829	0.313023640886076
hsa-let-7i	7.54417732630027	1.61294550703624	10	10	3.44211941075831	0.357444048000752	1.19587319278325	0.0549536051300537	1.14297750960803
hsa-mir-1-1	10	9.20917344548593	4.27559843500047	2.97448989965903	0.325654537718115	7.78075621680375	1.62949812013334	8.35150301604926	0.191937820456796
hsa-mir-1-2	10	9.55166600896475	4.53254932955372	3.03082852634471	0.254084809543834	7.26234547607305	1.72037656111984	8.81233446275826	0.236629693755668
hsa-mir-100	10	10	0.693562603468459	0.848081736201225	0.477636554569766	7.45395436875081	2.81321082450774	10	3.63748250358319
hsa-mir-101-1	2.672932334473	10	2.86632523464912	0.60676940049067	10	10	1.07703030267867	5.75913984916277	0.253738106991322
hsa-mir-101-2	2.86699780273034	10	2.87916543172037	0.628248645849043	10	10	1.07576817016276	5.91715037107594	0.256351619877527
hsa-mir-103a-1	6.83860471460404	4.92800371765569	0.614843876695955	3.25123444485605	8.87601242458214	0.0106924722871248	0.608534149536773	0.62364254928516	1.73363704226869
hsa-mir-103a-2	6.93360759421342	4.90543633785236	0.610219199403634	3.28130273781085	8.87601242458214	0.0100392157359992	0.601006468821312	0.621090317038897	1.74569375458748
hsa-mir-106a	5.86739305815836	0.337331030371632	10	1.06490948283977	0.241510608213015	4.32679341609748	4.52373611948383	3.09805320972753	6.21986865640169
hsa-mir-106b	10	10	10	10	10	10	4.52330047191668	10	1.69370743412424
hsa-mir-107	10	0.370097473782912	4.19558856926395	0.299502523562093	5.56866327635079	0.915407037446722	2.96738338940565	0.679155235483719	0.52444606195693
hsa-mir-10a	0.609335603555141	1.12244192097978	10	0.0360450610493905	3.0056189106254	0.911756026538703	10	1.76732081020841	3.62785849236967
hsa-mir-10b	10	6.59139560847407	8.98171000130215	10	10	10	0.0258874814999824	2.3079144001056	0.795567531176683
hsa-mir-1180	1.82111499028058	5.01984297873733	1.52368573372607	4.22182485258698	10	9.44158048219987	1.105815924103	0.698745778267279	0.387902611755367
hsa-mir-1226	8.9866114189452	3.85154187407781	0.0398016903626507	2.94701800259885	6.77008222759112	10	0.143183860961963	0.548886405974549	4.12094969877865
hsa-mir-1247	10	1.48108470597695	0.165452469796085	0.810119221159122	1.68071649340585	0.346119197830955	0.352238918599338	0.237184282873243	3.40368069840697
hsa-mir-1248	3.59902523699408	3.87254447895428	2.52665516452127	1.49898247684972	1.35756754603966	10	2.07738347889419	0.143727658476792	3.20126005514284
hsa-mir-1249	1.71053106616418	3.1848694347345	6.49552604969647	2.21457632668676	0.116905295670056	10	0.606548268700732	2.17440341047491	2.08011510885669
hsa-mir-125a	2.15584470869166	0.576185702721627	10	3.36390816556148	2.17110567772043	1.58993223354268	2.07738347889419	10	8.41383400231224
hsa-mir-125b-1	10	10	10	3.19519457204573	5.96745741094196	1.50730816152627	0.337432791033968	8.75669795771548	4.18016457756839
hsa-mir-125b-2	10	10	10	2.73304373580892	5.79633956632786	1.44627475660087	0.419301839825184	9.29516369640489	4.12094969877865
hsa-mir-126	10	4.98081487494637	6.7596300964633	10	1.19945203598049	10	4.04770162382454	0.059304862876186	1.69370743412424
hsa-mir-1262	10	1.27139505685601	0.331614721019793	0.090852676868098	0.620112280375096	0.0510520009103941	0.196518649348466	3.99636970075182	0.4686119491226
