feature	type	cluster	regulation
hsa-mir-100	TS	Pan-cancer	--
hsa-mir-101-1	TS	Pan-cancer	--
hsa-mir-101-2	TS	Pan-cancer	--
hsa-mir-106a		Pan-cancer	++
hsa-mir-10b		Pan-cancer	--
hsa-mir-1-2	TS	Pan-cancer	--
hsa-mir-125a	TS	Pan-cancer	--
hsa-mir-125b-1		Pan-cancer	--
hsa-mir-130b		Pan-cancer	++
hsa-mir-133a-1	TS	Pan-cancer	--
hsa-mir-133a-2	TS	Pan-cancer	--
hsa-mir-133b	TS	Pan-cancer	--
hsa-mir-135b	O	Pan-cancer	++
hsa-mir-139	TS	Pan-cancer	--
hsa-mir-140	TS	Pan-cancer	--
hsa-mir-142		Pan-cancer	++
hsa-mir-143	TS	Pan-cancer	--
hsa-mir-145	TS	Pan-cancer	--
hsa-mir-17	O	Pan-cancer	++
hsa-mir-182	O	Pan-cancer	++
hsa-mir-183	O	Pan-cancer	++
hsa-mir-18a	O	Pan-cancer	++
hsa-mir-192		Pan-cancer	++
hsa-mir-195	TS	Pan-cancer	--
hsa-mir-19a	O	Pan-cancer	++
hsa-mir-204	TS	Pan-cancer	--
hsa-mir-21	O	Pan-cancer	++
hsa-mir-210	O	Pan-cancer	++
hsa-mir-214		Pan-cancer	--
hsa-mir-224	O	Pan-cancer	++
hsa-mir-26a-2	TS	Pan-cancer	--
hsa-mir-26b		Pan-cancer	--
hsa-mir-27b		Pan-cancer	--
hsa-mir-29a		Pan-cancer	--
hsa-mir-301a	O	Pan-cancer	++
hsa-mir-331		Pan-cancer	++
hsa-mir-345		Pan-cancer	++
hsa-mir-378a		Pan-cancer	--
hsa-mir-451a	TS	Pan-cancer	--
hsa-mir-455		Pan-cancer	++
hsa-mir-486-1	TS	Pan-cancer	--
hsa-mir-486-2	TS	Pan-cancer	--
hsa-mir-497	TS	Pan-cancer	--
hsa-mir-7-1		Pan-cancer	++
hsa-mir-93	O	Pan-cancer	++
hsa-mir-96	O	Pan-cancer	++
hsa-mir-99a	TS	Pan-cancer	--
hsa-let-7a-1		Pan-cancer	--
hsa-let-7a-2		Pan-cancer	--
hsa-let-7a-3		Pan-cancer	--
hsa-let-7b	TS	Pan-cancer	--
hsa-let-7c	TS	Pan-cancer	--
hsa-mir-100	TS	Colorectal cancer	--
hsa-mir-106b	O	Colorectal cancer	++
hsa-mir-1-1	TS	Colorectal cancer	--
hsa-mir-1-2	TS	Colorectal cancer	--
