feature	cluster	CMC_score
hsa-mir-106a	BLCA	2.0
hsa-mir-106b	BLCA	5.0
hsa-mir-1-1	BLCA	4.0
hsa-mir-1180	BLCA	1.0
hsa-mir-1-2	BLCA	4.0
hsa-mir-1266	BLCA	0.0
hsa-mir-128-1	BLCA	3.5
hsa-mir-128-2	BLCA	3.5
hsa-mir-1301	BLCA	0.0
hsa-mir-1307	BLCA	1.0
hsa-mir-130b	BLCA	3.0
hsa-mir-133a-1	BLCA	4.5
hsa-mir-133a-2	BLCA	4.5
hsa-mir-133b	BLCA	3.0
hsa-mir-139	BLCA	4.0
hsa-mir-143	BLCA	6.0
hsa-mir-145	BLCA	6.0
hsa-mir-148b	BLCA	2.0
hsa-mir-149	BLCA	2.0
hsa-mir-151a	BLCA	1.5
hsa-mir-15b	BLCA	4.0
hsa-mir-16-1	BLCA	6.0
hsa-mir-16-2	BLCA	5.0
hsa-mir-17	BLCA	5.0
hsa-mir-181a-1	BLCA	5.0
hsa-mir-181a-2	BLCA	5.0
hsa-mir-181b-1	BLCA	4.0
hsa-mir-181b-2	BLCA	4.0
hsa-mir-181c	BLCA	2.5
hsa-mir-182	BLCA	4.0
hsa-mir-183	BLCA	4.5
hsa-mir-185	BLCA	1.5
hsa-mir-188	BLCA	0.5
hsa-mir-18a	BLCA	4.0
hsa-mir-191	BLCA	1.5
hsa-mir-192	BLCA	3.5
hsa-mir-193b	BLCA	3.0
hsa-mir-196b	BLCA	0.5
hsa-mir-197	BLCA	0.0
hsa-mir-19a	BLCA	5.0
hsa-mir-19b-1	BLCA	4.0
hsa-mir-19b-2	BLCA	4.0
hsa-mir-200a	BLCA	4.5
hsa-mir-200b	BLCA	4.5
hsa-mir-205	BLCA	5.0
hsa-mir-20a	BLCA	4.5
hsa-mir-21	BLCA	7.0
hsa-mir-210	BLCA	3.5
hsa-mir-215	BLCA	2.0
hsa-mir-25	BLCA	4.0
hsa-mir-301a	BLCA	3.5
hsa-mir-3065	BLCA	0.0
hsa-mir-30a	BLCA	5.5
hsa-mir-324	BLCA	3.0
hsa-mir-331	BLCA	2.0
hsa-mir-335	BLCA	3.5
hsa-mir-339	BLCA	1.5
hsa-mir-33a	BLCA	1.5
hsa-mir-345	BLCA	2.0
hsa-mir-3613	BLCA	0.0
hsa-mir-3677	BLCA	0.0
hsa-mir-423	BLCA	2.5
hsa-mir-424	BLCA	1.5
hsa-mir-425	BLCA	1.5
hsa-mir-429	BLCA	1.0
hsa-mir-450a-1	BLCA	0.0
hsa-mir-450a-2	BLCA	0.0
hsa-mir-450b	BLCA	0.0
hsa-mir-454	BLCA	0.0
hsa-mir-455	BLCA	2.5
hsa-mir-490	BLCA	0.0
hsa-mir-550a-1	BLCA	0.0
hsa-mir-550a-2	BLCA	0.0
hsa-mir-550a-3	BLCA	0.0
hsa-mir-576	BLCA	0.0
hsa-mir-584	BLCA	1.0
hsa-mir-589	BLCA	1.0
hsa-mir-590	BLCA	1.5
hsa-mir-629	BLCA	0.5
hsa-mir-651	BLCA	0.0
hsa-mir-652	BLCA	0.0
hsa-mir-671	BLCA	0.0
hsa-mir-708	BLCA	1.0
hsa-mir-7-1	BLCA	4.5
hsa-mir-744	BLCA	0.0
hsa-mir-769	BLCA	1.0
hsa-mir-92a-1	BLCA	4.5
hsa-mir-92a-2	BLCA	4.5
hsa-mir-93	BLCA	3.0
hsa-mir-937	BLCA	0.0
hsa-mir-942	BLCA	1.0
hsa-mir-96	BLCA	3.5
hsa-mir-99b	BLCA	2.0
hsa-let-7g	BLCA	3.0
hsa-mir-100	BRCA	5.0
hsa-mir-101-1	BRCA	6.0
hsa-mir-101-2	BRCA	6.0
hsa-mir-103a-1	BRCA	3.0
hsa-mir-103a-2	BRCA	3.0
hsa-mir-105-1	BRCA	0.0
hsa-mir-105-2	BRCA	0.0
hsa-mir-106a	BRCA	2.0
hsa-mir-106b	BRCA	5.0
hsa-mir-107	BRCA	3.0
hsa-mir-10a	BRCA	3.0
hsa-mir-10b	BRCA	5.0
hsa-mir-1-1	BRCA	4.0
hsa-mir-1-2	BRCA	4.0
hsa-mir-1247	BRCA	0.0
hsa-mir-125b-1	BRCA	4.0
hsa-mir-125b-2	BRCA	4.0
hsa-mir-126	BRCA	5.0
hsa-mir-1266	BRCA	0.0
hsa-mir-1269a	BRCA	1.0
hsa-mir-127	BRCA	1.5
hsa-mir-1277	BRCA	0.0
hsa-mir-128-1	BRCA	3.5
hsa-mir-128-2	BRCA	3.5
